Area,Date,Category,Subcategory,Variable,Unit,Value
Argentina,2018-10-01,Electricity generation,Aggregate fuel,Clean,%,40.83
Argentina,2018-10-01,Electricity generation,Aggregate fuel,Fossil,%,59.17
Argentina,2018-10-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,58.78
Argentina,2018-10-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,35.04
Argentina,2018-10-01,Electricity generation,Aggregate fuel,Renewables,%,36.97
Argentina,2018-10-01,Electricity generation,Aggregate fuel,Wind and Solar,%,1.93
Argentina,2018-10-01,Electricity generation,Fuel,Bioenergy,%,0.39
Argentina,2018-10-01,Electricity generation,Fuel,Coal,%,0.39
Argentina,2018-10-01,Electricity generation,Fuel,Gas,%,57.72
Argentina,2018-10-01,Electricity generation,Fuel,Hydro,%,34.65
Argentina,2018-10-01,Electricity generation,Fuel,Nuclear,%,3.86
Argentina,2018-10-01,Electricity generation,Fuel,Other Fossil,%,1.06
Argentina,2018-10-01,Electricity generation,Fuel,Solar,%,0.1
Argentina,2018-10-01,Electricity generation,Fuel,Wind,%,1.83
Argentina,2018-11-01,Electricity generation,Aggregate fuel,Clean,%,45.18
Argentina,2018-11-01,Electricity generation,Aggregate fuel,Fossil,%,54.82
Argentina,2018-11-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,54.82
Argentina,2018-11-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,39.21
Argentina,2018-11-01,Electricity generation,Aggregate fuel,Renewables,%,41.52
Argentina,2018-11-01,Electricity generation,Aggregate fuel,Wind and Solar,%,2.31
Argentina,2018-11-01,Electricity generation,Fuel,Bioenergy,%,0.39
Argentina,2018-11-01,Electricity generation,Fuel,Coal,%,0.0
Argentina,2018-11-01,Electricity generation,Fuel,Gas,%,53.76
Argentina,2018-11-01,Electricity generation,Fuel,Hydro,%,38.82
Argentina,2018-11-01,Electricity generation,Fuel,Nuclear,%,3.66
Argentina,2018-11-01,Electricity generation,Fuel,Other Fossil,%,1.06
Argentina,2018-11-01,Electricity generation,Fuel,Solar,%,0.19
