Contratada no ano A
(MW médio)","Energia
Contratada no ano A+1
(MW médio)","Energia
Contratada no ano A+2
(MW médio)","Energia
Contratada no ano A+3
,38,2005,LEE,02ºLEE,Leilão de Energia Existente,001/2005,CEMIG GERACAO,06.981.176/0001-58,2008-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,105,105,105,105.000,105.000,105.000,105.000,105.000,"7,363,440.000",83.50,R$/MWh,0.00,0.00,"614,847,240.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2008,12/31/2015,Não,"2,441.87",#REF!
,39,2005,LEE,02ºLEE,Leilão de Energia Existente,001/2005,CESP,60.933.603/0001-78,2008-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,170,170,170,170.000,170.000,170.000,170.000,170.000,"11,921,760.000",83.50,R$/MWh,0.00,0.00,"995,466,960.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2008,12/31/2015,Não,"2,441.87",#REF!
,40,2005,LEE,02ºLEE,Leilão de Energia Existente,001/2005,CDSA,01.672.223/0001-68,2008-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,133,133,133,133.000,133.000,133.000,133.000,133.000,"9,327,024.000",83.48,R$/MWh,0.00,0.00,"778,619,963.52",#REF!,#REF!,0.00,0.00,0.00,1/1/2008,12/31/2015,Não,"2,441.87",#REF!
,41,2005,LEE,02ºLEE,Leilão de Energia Existente,001/2005,CHESF,33.541.368/0001-16,2008-08,-,-,Sem Pendências,-,-,-,NE,0.00,#REF!,0.000,,,0.000,0.000,1.0,450,450,450,450.000,450.000,450.000,450.000,450.000,"31,557,600.000",83.50,R$/MWh,0.00,0.00,"2,635,059,600.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2008,12/31/2015,Não,"2,441.87",#REF!
,42,2005,LEE,02ºLEE,Leilão de Energia Existente,001/2005,CGTEE,02.016.507/0001-69,2008-08,-,-,Sem Pendências,-,-,-,S,0.00,#REF!,0.000,,,0.000,0.000,1.0,104,104,104,104.000,104.000,104.000,104.000,104.000,"7,293,312.000",83.50,R$/MWh,0.00,0.00,"608,991,552.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2008,12/31/2015,Não,"2,441.87",#REF!
,43,2005,LEE,04ºLEE,Leilão de Energia Existente,003/2005,EMAE,02.302.101/0001-42,2009-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,3,3,3,3.000,3.000,3.000,3.000,3.000,"210,384.000",96.00,R$/MWh,0.00,0.00,"20,196,864.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2009,12/31/2016,Não,"2,493.79",#REF!
,44,2005,LEE,04ºLEE,Leilão de Energia Existente,003/2005,FURNAS,23.274.194/0001-19,2009-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,281,281,281,281.000,281.000,281.000,281.000,281.000,"19,705,968.000",96.00,R$/MWh,0.00,0.00,"1,891,772,928.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2009,12/31/2016,Não,"2,493.79",#REF!
,45,2005,LEE,04ºLEE,Leilão de Energia Existente,003/2005,COPEL GET,04.370.282/0001-70,2009-08,-,-,Sem Pendências,-,-,-,S,0.00,#REF!,0.000,,,0.000,0.000,1.0,245,245,245,245.000,245.000,245.000,245.000,245.000,"17,181,360.000",95.95,R$/MWh,0.00,0.00,"1,648,551,492.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2009,12/31/2016,Não,"2,493.79",#REF!
,46,2005,LEE,04ºLEE,Leilão de Energia Existente,003/2005,CHESF,33.541.368/0001-16,2009-08,-,-,Sem Pendências,-,-,-,NE,0.00,#REF!,0.000,,,0.000,0.000,1.0,80,80,80,80.000,80.000,80.000,80.000,80.000,"5,610,240.000",96.00,R$/MWh,0.00,0.00,"538,583,040.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2009,12/31/2016,Não,"2,493.79",#REF!
,47,2005,LEE,04ºLEE,Leilão de Energia Existente,003/2005,ENGIE BR GER,02.474.103/0001-19,2009-08,-,-,Sem Pendências,-,-,-,S,0.00,#REF!,0.000,,,0.000,0.000,1.0,191,191,191,191.000,191.000,191.000,191.000,191.000,"13,394,448.000",93.03,R$/MWh,0.00,0.00,"1,246,085,497.44",#REF!,#REF!,0.00,0.00,0.00,1/1/2009,12/31/2016,Não,"2,493.79",#REF!
,48,2005,LEE,04ºLEE,Leilão de Energia Existente,003/2005,ENGIE BR COM,04.100.556/0001-00,2009-08,-,-,Sem Pendências,-,-,-,S,0.00,#REF!,0.000,,,0.000,0.000,1.0,190,190,190,190.000,190.000,190.000,190.000,190.000,"13,324,320.000",94.96,R$/MWh,0.00,0.00,"1,265,277,427.20",#REF!,#REF!,0.00,0.00,0.00,1/1/2009,12/31/2016,Não,"2,493.79",#REF!
,49,2005,LEE,04ºLEE,Leilão de Energia Existente,003/2005,CGTEE,02.016.507/0001-69,2009-08,-,-,Sem Pendências,-,-,-,S,0.00,#REF!,0.000,,,0.000,0.000,1.0,35,35,35,35.000,35.000,35.000,35.000,35.000,"2,454,480.000",91.80,R$/MWh,0.00,0.00,"225,321,264.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2009,12/31/2016,Não,"2,493.79",#REF!
