Date,Country,VRE,Thermal,Hydro,Other,sum_check_pct,VRE_12MA,Hydro_12MA,Thermal_12MA,Other_12MA,HydroSwing
2023-11-01,Bolivia,7.84,69.61,21.57,0.98,100.0,7.396666666666667,19.521666666666665,72.12583333333333,0.9533333333333335,-5.029166666666669
2023-12-01,Bolivia,7.6899999999999995,60.58,31.73,0.0,100.0,7.522500000000001,20.61916666666667,70.9025,0.9533333333333335,4.983888888888888
2024-01-01,Bolivia,5.82,71.84,22.33,0.0,99.99000000000001,7.475833333333333,20.53,71.03833333333334,0.9533333333333335,-4.480555555555554
2024-02-01,Bolivia,5.38,67.74,26.88,0.0,100.0,7.322500000000001,20.460833333333333,71.26166666666667,0.9533333333333335,0.7149999999999963
2024-03-01,Bolivia,7.76,56.31,35.92,0.0,99.99000000000001,7.459166666666667,21.498333333333335,70.08666666666666,0.9533333333333335,10.230555555555554
2024-04-01,Bolivia,7.21,61.86,30.93,0.0,100.0,7.498333333333334,22.109166666666667,69.43666666666667,0.9533333333333335,5.386666666666667
2024-05-01,Bolivia,8.51,64.89,25.53,1.06,99.99000000000001,7.645833333333333,22.645,68.66416666666667,1.0416666666666667,0.3277777777777757
2024-06-01,Bolivia,8.89,65.56,23.33,2.22,100.0,7.708333333333333,23.2325,67.82916666666667,1.2266666666666668,-1.8269444444444467
2024-07-01,Bolivia,8.79,65.93,23.08,2.2,100.00000000000001,7.793333333333333,23.766666666666666,67.21249999999999,1.225,-1.9058333333333337
2024-08-01,Bolivia,8.61,69.89,19.35,2.15,100.0,7.801666666666667,24.22666666666667,66.83083333333333,1.1383333333333334,-5.531666666666666
2024-09-01,Bolivia,8.24,71.13,18.56,2.06,99.99,7.715,24.656666666666666,66.5725,1.0525,-6.122777777777781
2024-10-01,Bolivia,6.6,75.47,16.98,0.94,99.99,7.611666666666667,24.6825,66.73416666666667,0.9674999999999999,-7.539999999999996
2024-11-01,Bolivia,5.94,72.28,21.78,0.0,100.0,7.453333333333333,24.700000000000003,66.95666666666666,0.8858333333333333,-2.5327777777777776
2024-12-01,Bolivia,4.95,66.34,28.71,0.0,100.0,7.2250000000000005,24.448333333333334,67.43666666666667,0.8858333333333333,4.37361111111111
2025-01-01,Bolivia,3.0,65.0,32.0,0.0,100.0,6.990000000000001,25.254166666666666,66.86666666666666,0.8858333333333333,7.915555555555557
2025-02-01,Bolivia,4.17,66.67,29.17,0.0,100.01,6.889166666666665,25.445000000000004,66.77749999999999,0.8858333333333333,5.203888888888891
2025-03-01,Bolivia,5.05,56.57,38.38,0.0,100.0,6.663333333333334,25.650000000000002,66.79916666666666,0.8858333333333333,14.529444444444447
2025-04-01,Bolivia,5.27,55.79,38.95,0.0,100.00999999999999,6.501666666666666,26.31833333333333,66.29333333333334,0.8858333333333333,15.063333333333333
2025-05-01,Bolivia,6.12,61.22,32.65,0.0,99.99,6.302500000000001,26.911666666666672,65.9875,0.7975,8.68277777777778
2025-06-01,Bolivia,6.66,63.33,27.78,2.22,99.99,6.116666666666667,27.2825,65.80166666666666,0.7975,3.7880555555555553
2025-07-01,Bolivia,6.18,65.98,25.77,2.06,99.99000000000001,5.899166666666666,27.506666666666664,65.80583333333334,0.7858333333333333,1.8533333333333317
2025-08-01,Bolivia,6.32,66.32,25.26,2.11,100.00999999999999,5.708333333333333,27.999166666666667,65.50833333333334,0.7825000000000001,1.3452777777777776
2025-09-01,Bolivia,5.76,70.19,21.15,2.88,99.97999999999999,5.501666666666668,28.215000000000003,65.43,0.8508333333333332,-2.8036111111111133
2025-10-01,Bolivia,5.88,66.67,25.49,1.96,99.99999999999999,5.441666666666666,28.924166666666668,64.69666666666667,0.9358333333333334,1.580277777777777
2018-01-01,Brazil,7.03,12.25,77.33,3.38,99.99,,,,,
2018-02-01,Brazil,5.01,11.65,80.9,2.45,100.01000000000002,,,,,
2018-03-01,Brazil,4.75,11.65,81.05,2.55,100.0,,,,,
2018-04-01,Brazil,6.140000000000001,9.89,79.21,4.75,99.99,,,,,
2018-05-01,Brazil,8.620000000000001,11.17,74.94,5.27,100.0,,,,,
2018-06-01,Brazil,10.35,15.88,68.03,5.73,99.99,,,,,
2018-07-01,Brazil,11.64,17.66,64.86,5.84,100.0,,,,,
2018-08-01,Brazil,11.75,18.24,64.44,5.57,100.0,,,,,
2018-09-01,Brazil,12.7,19.24,62.72,5.33,99.99,,,,,
2018-10-01,Brazil,10.280000000000001,14.05,70.99,4.6899999999999995,100.00999999999999,,,,,
2018-11-01,Brazil,11.309999999999999,7.84,77.17,3.67,99.99000000000001,,,,,
2018-12-01,Brazil,8.120000000000001,7.18,80.81,3.8899999999999997,100.00000000000001,8.975,73.53750000000001,13.058333333333332,4.426666666666667,
2019-01-01,Brazil,8.84,7.69,80.32,3.16,100.00999999999999,9.125833333333334,73.78666666666666,12.678333333333333,4.408333333333333,
2019-02-01,Brazil,5.59,12.58,78.4,3.44,100.01,9.174166666666666,73.57833333333333,12.755833333333333,4.490833333333334,
2019-03-01,Brazil,6.1,10.48,79.84,3.58,100.0,9.286666666666667,73.4775,12.658333333333331,4.576666666666666,
2019-04-01,Brazil,6.430000000000001,9.33,80.36,3.88,100.0,9.310833333333333,73.57333333333334,12.611666666666666,4.504166666666666,
2019-05-01,Brazil,9.180000000000001,8.64,78.37,3.8,99.99000000000001,9.3575,73.85916666666667,12.400833333333331,4.381666666666667,
2019-06-01,Brazil,12.77,8.54,73.03,5.67,100.01,9.559166666666666,74.27583333333332,11.789166666666667,4.376666666666666,
2019-07-01,Brazil,12.57,13.99,67.67,5.77,100.0,9.636666666666667,74.51,11.483333333333333,4.370833333333334,
2019-08-01,Brazil,15.3,16.88,62.08,5.75,100.00999999999999,9.9325,74.31333333333333,11.37,4.385833333333333,
2019-09-01,Brazil,14.14,16.43,64.07,5.35,99.98999999999998,10.0525,74.42583333333333,11.135833333333332,4.3875,
